,link,download
175,https://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/1557-level-3/12451-de-so-2-level-2.html,
176,https://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/1557-level-3/12452-de-so-3-level-3.html,
177,https://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/1557-level-3/12453-de-so-4-level-3.html,
178,https://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/1557-level-3/12454-de-so-5-level-3.html,
179,https://www.baitap123.com/vat-ly/thi-thu-dai-hoc/xac-nhan/1557-level-3/12455-de-so-6-level-3.html,
180,https://www.baitap123.com/vat-ly-12-phien-ban-moi/lop-12/xac-nhan/1450-level-1/9429-de-thi-hoc-ky-so-1-vat-ly-12.html,
181,https://www.baitap123.com/vat-ly-12-phien-ban-moi/lop-12/xac-nhan/1450-level-1/9430-de-thi-hoc-ky-so-1-vat-ly-12.html,
182,https://www.baitap123.com/vat-ly-12-phien-ban-moi/lop-12/xac-nhan/1450-level-1/9431-de-thi-hoc-ky-so-3-vat-ly-12.html,
183,https://www.baitap123.com/vat-ly-12-phien-ban-moi/lop-12/xac-nhan/1450-level-1/9432-de-thi-hoc-ky-so-4-vat-ly-12.html,
184,https://www.baitap123.com/vat-ly-12-phien-ban-moi/lop-12/xac-nhan/1450-level-1/9433-de-thi-hoc-ky-so-5-vat-ly-12.html,
185,https://www.baitap123.com/vat-ly-12-phien-ban-moi/lop-12/xac-nhan/1450-level-1/9444-de-thi-hoc-ky-so-6-cb-vat-ly-12.html,
186,https://www.baitap123.com/vat-ly-12-phien-ban-moi/lop-12/xac-nhan/1450-level-1/9445-de-thi-hoc-ky-so-7-cb-vat-ly-12.html,
187,https://www.baitap123.com/vat-ly-12-phien-ban-moi/lop-12/xac-nhan/1450-level-1/9446-de-thi-hoc-ky-so-8-cb-vat-ly-12.html,
188,https://www.baitap123.com/vat-ly-12-phien-ban-moi/lop-12/xac-nhan/1450-level-1/9447-de-thi-hoc-ky-so-9-cb-vat-ly-12.html,
189,https://www.baitap123.com/vat-ly-12-phien-ban-moi/lop-12/xac-nhan/1451-level-2/9434-de-thi-hoc-ky-so-6-vat-ly-12.html,
190,https://www.baitap123.com/vat-ly-12-phien-ban-moi/lop-12/xac-nhan/1451-level-2/9435-de-thi-hoc-ky-so-7-vat-ly-12.html,
191,https://www.baitap123.com/vat-ly-12-phien-ban-moi/lop-12/xac-nhan/1451-level-2/9436-de-thi-hoc-ky-so-8-vat-ly-12.html,
192,https://www.baitap123.com/vat-ly-12-phien-ban-moi/lop-12/xac-nhan/1451-level-2/9437-de-thi-hoc-ky-so-9-vat-ly-12.html,
193,https://www.baitap123.com/vat-ly-12-phien-ban-moi/lop-12/xac-nhan/1451-level-2/9438-de-thi-hoc-ky-so-10-vat-ly-12.html,
194,https://www.baitap123.com/vat-ly-12-phien-ban-moi/lop-12/xac-nhan/1451-level-2/9439-de-thi-hoc-ky-so-6-nc-vat-ly-12.html,
195,https://www.baitap123.com/vat-ly-12-phien-ban-moi/lop-12/xac-nhan/1451-level-2/9440-de-thi-hoc-ky-so-7-nc-vat-ly-12.html,
196,https://www.baitap123.com/vat-ly-12-phien-ban-moi/lop-12/xac-nhan/1451-level-2/9441-de-thi-hoc-ky-so-9-nc-vat-ly-12.html,
197,https://www.baitap123.com/vat-ly-12-phien-ban-moi/lop-12/xac-nhan/1451-level-2/9442-de-thi-hoc-ky-so-9-nc-vat-ly-12.html,
198,https://www.baitap123.com/vat-ly-12-phien-ban-moi/lop-12/xac-nhan/1451-level-2/9443-de-thi-hoc-ky-so-10-nc-vat-ly-12.html,
199,https://www.baitap123.com/vat-ly-11-phien-ban-moi/lop-11/xac-nhan/1690-level-1/12330-de-thi-hoc-ki-1-so-1-vat-ly-11.html,
200,https://www.baitap123.com/vat-ly-11-phien-ban-moi/lop-11/xac-nhan/1690-level-1/12331-de-thi-hoc-ki-1-so-2-vat-ly-11.html,
201,https://www.baitap123.com/vat-ly-11-phien-ban-moi/lop-11/xac-nhan/1690-level-1/12332-de-thi-hoc-ki-1-so-3-vat-ly-11.html,
202,https://www.baitap123.com/vat-ly-11-phien-ban-moi/lop-11/xac-nhan/1691-level-2/12333-de-thi-hoc-ki-1-so-1-vat-ly-11.html,
203,https://www.baitap123.com/vat-ly-11-phien-ban-moi/lop-11/xac-nhan/1691-level-2/12334-de-thi-hoc-ki-1-so-2-vat-ly-11.html,
204,https://www.baitap123.com/vat-ly-10-phien-ban-moi/lop-10/xac-nhan/1678-level-1/11707-de-thi-hoc-ki-1-so-1-vat-ly-10.html,
205,https://www.baitap123.com/vat-ly-10-phien-ban-moi/lop-10/xac-nhan/1678-level-1/11708-de-thi-hoc-ki-1-so-2-vat-ly-10.html,
206,https://www.baitap123.com/vat-ly-10-phien-ban-moi/lop-10/xac-nhan/1678-level-1/11709-de-thi-hoc-ki-1-so-3-vat-ly-10.html,
207,https://www.baitap123.com/vat-ly-10-phien-ban-moi/lop-10/xac-nhan/1678-level-1/11710-de-thi-hoc-ki-1-so-4-vat-ly-10.html,
208,https://www.baitap123.com/vat-ly-10-phien-ban-moi/lop-10/xac-nhan/1678-level-1/11711-de-thi-hoc-ki-1-so-5-vat-ly-10.html,
209,https://www.baitap123.com/dai-hoc-cao-dang/nam-2014/xac-nhan/vat-ly/200-de-thi-dai-hoc-mon-vat-ly-khoi-a-a1-ma-259.html,
210,https://www.baitap123.com/hoa-hoc/lop-9/xac-nhan/1652-level-1/11592-bai-so-4-th.html,
211,https://www.baitap123.com/hoa-hoc/lop-9/xac-nhan/1652-level-1/11591-bai-so-3-th.html,
212,https://www.baitap123.com/hoa-hoc/lop-9/xac-nhan/1652-level-1/11590-bai-so-2-th.html,
213,https://www.baitap123.com/hoa-hoc/lop-9/xac-nhan/1652-level-1/11589-bai-so-1-th.html,
214,https://www.baitap123.com/hoa-hoc/lop-9/xac-nhan/1653-level-2/11588-bai-so-2-th.html,
215,https://www.baitap123.com/hoa-hoc/lop-9/xac-nhan/1653-level-2/11587-bai-so-1-th.html,
216,https://www.baitap123.com/hoa-hoc/lop-9/xac-nhan/1652-level-1/11586-bai-so-1-8.html,
217,https://www.baitap123.com/hoa-hoc/lop-9/xac-nhan/1652-level-1/11585-bai-so-1-6.html,
218,https://www.baitap123.com/hoa-hoc/lop-9/xac-nhan/1652-level-1/11584-bai-so-1-5.html,
219,https://www.baitap123.com/hoa-hoc/lop-9/xac-nhan/1652-level-1/11583-bai-so-1-4.html,
220,https://www.baitap123.com/hoa-hoc/lop-9/xac-nhan/1652-level-1/11582-bai-so-1-3.html,
221,https://www.baitap123.com/hoa-hoc/lop-9/xac-nhan/1652-level-1/11581-bai-so-1-2.html,
222,https://www.baitap123.com/hoa-hoc/lop-9/xac-nhan/1652-level-1/11580-bai-so-1-1.html,
223,https://www.baitap123.com/hoa-hoc/lop-9/xac-nhan/1651-level-3/11579-bai-so-1-th.html,
224,https://www.baitap123.com/hoa-hoc/lop-9/xac-nhan/1650-level-2/11578-bai-so-3-th.html,
225,https://www.baitap123.com/hoa-hoc/lop-9/xac-nhan/1650-level-2/11577-bai-so-2-th.html,
226,https://www.baitap123.com/hoa-hoc/lop-9/xac-nhan/1650-level-2/11576-bai-so-1-th.html,
227,https://www.baitap123.com/hoa-hoc/lop-9/xac-nhan/1649-level-1/11575-bai-so-5-th.html,
228,https://www.baitap123.com/hoa-hoc/lop-9/xac-nhan/1649-level-1/11574-bai-so-4-th.html,
229,https://www.baitap123.com/hoa-hoc/lop-9/xac-nhan/1649-level-1/11573-bai-so-3-th.html,
230,https://www.baitap123.com/hoa-hoc/lop-9/xac-nhan/1649-level-1/11572-bai-so-2-th.html,
231,https://www.baitap123.com/hoa-hoc/lop-9/xac-nhan/1649-level-1/11571-bai-so-1-th.html,
232,https://www.baitap123.com/hoa-hoc/lop-9/xac-nhan/1649-level-1/11570-bai-so-1-7.html,
233,https://www.baitap123.com/hoa-hoc/lop-9/xac-nhan/1649-level-1/11569-bai-so-1-6.html,
234,https://www.baitap123.com/hoa-hoc/lop-9/xac-nhan/1649-level-1/11568-bai-so-1-5.html,
235,https://www.baitap123.com/hoa-hoc/lop-9/xac-nhan/1649-level-1/11567-bai-so-1-4.html,
236,https://www.baitap123.com/hoa-hoc/lop-9/xac-nhan/1649-level-1/11566-bai-so-1-3.html,
237,https://www.baitap123.com/hoa-hoc/lop-9/xac-nhan/1649-level-1/11565-bai-so-1-2.html,
